"s_ds_municipio","s_ds_municipio_rdo","municipio","cod_ibge"
PALMEIRA D OESTE,PALMEIRA D OESTE,Palmeira d Oeste,3535200
SANTA RITA D OESTE,S.RITA D OESTE,Santa Rita d Oeste,3547403
SANTA ROSA DE VITERBO,S.ROSA DE VITERBO,Santa Rosa de Viterbo,3547601
SANTANA DE PARNAIBA,SANTANA DE PARNAIBA,Santana de Parnaiba,3547304
SANTO ANASTACIO,S.ANASTACIO,Santo Anastacio,3547700
SANTO ANTONIO DE POSSE,S.ANTONIO DE POSSE,Santo Antonio de Posse,3548005
SANTA BARBARA D OESTE,S.BARBARA D OESTE,Santa Barbara d Oeste,3545803
SANTO ANTONIO DO JARDIM,S.ANTONIO DO JARDIM,Santo Antonio do Jardim,3548104
SERTAOZINHO,SERTAOZINHO,Sertaozinho,3551702
SETE BARRAS,SETE BARRAS,Sete Barras,3551801
SILVEIRAS,SILVEIRAS,Silveiras,3552007
SOCORRO,SOCORRO,Socorro,3552106
SOROCABA,SOROCABA,Sorocaba,3552205
SUMARE,SUMARE,Sumare,3552403
SUZANO,SUZANO,Suzano,3552502
TABAPUA,TABAPUA,Tabapua,3552601
TABOAO DA SERRA,TABOAO DA SERRA,Taboao da Serra,3552809
TACIBA,TACIBA,Taciba,3552908
TAGUAI,TAGUAI,Taguai,3553005
SANTO ANTONIO DO PINHAL,S.ANTONIO DO PINHAL,Santo Antonio do Pinhal,3548203
SANTO EXPEDITO,S.EXPEDITO,Santo Expedito,3548302
SANTOPOLIS DO AGUAPEI,SANTOPOLIS DO AGUAPEI,Santopolis do Aguapei,3548401
TANABI,TANABI,Tanabi,3553401
SAO FRANCISCO,S.FRANCISCO,Sao Francisco,3549003
SAO JOAO DA BOA VISTA,S.JOAO DA BOA VISTA,Sao Joao da Boa Vista,3549102
SAO JOAO DAS DUAS PONTES,S.JOAO DUAS PONTES,Sao Joao das Duas Pontes,3549201
SAO JOSE DA BELA VISTA,S.JOSE DA BELA VISTA,Sao Jose da Bela Vista,3549508
SAO JOSE DO RIO PRETO,S.JOSE DO RIO PRETO,Sao Jose do Rio Preto,3549805
SAO JOSE DOS CAMPOS,S.JOSE DOS CAMPOS,Sao Jose dos Campos,3549904
TAPIRAI,TAPIRAI,Tapirai,3553500
PEDRA BELA,PEDRA BELA,Pedra Bela,3536802
PEDREIRA,PEDREIRA,Pedreira,3537107
TAPIRATIBA,TAPIRATIBA,Tapiratiba,3553609
PEDRINHAS PAULISTA,PEDRINHAS PAULISTA,Pedrinhas Paulista,3537156
PENAPOLIS,PENAPOLIS,Penapolis,3537305
PEREIRAS,PEREIRAS,Pereiras,3537503
PIACATU,PIACATU,Piacatu,3537701
PIEDADE,PIEDADE,Piedade,3537800
PINDAMONHANGABA,PINDAMONHANGABA,Pindamonhangaba,3538006
PINHALZINHO,PINHALZINHO,Pinhalzinho,3538204
PIQUEROBI,PIQUEROBI,Piquerobi,3538303
PIQUETE,PIQUETE,Piquete,3538501
POLONI,POLONI,Poloni,3539905
PONGAI,PONGAI,Pongai,3540101
PONTAL,PONTAL,Pontal,3540200
PONTALINDA,PONTALINDA,Pontalinda,3540259
PORANGABA,PORANGABA,Porangaba,3540507
PORTO FELIZ,PORTO FELIZ,Porto Feliz,3540606
SAO BERNARDO DO CAMPO,S.BERNARDO DO CAMPO,Sao Bernardo do Campo,3548708
BARUERI,BARUERI,Barueri,3505708
COTIA,COTIA,Cotia,3513009
SAO CAETANO DO SUL,S.CAETANO DO SUL,Sao Caetano do Sul,3548807
UBATUBA,UBATUBA,Ubatuba,3555406
UCHOA,UCHOA,Uchoa,3555604
POTIM,POTIM,Potim,3540754
POTIRENDABA,POTIRENDABA,Potirendaba,3540804
PRACINHA,PRACINHA,Pracinha,3540853
PRAIA GRANDE,PRAIA GRANDE,Praia Grande,3541000
SABINO,S.ADELIA,Sabino,3544608
SAGRES,S.ALBERTINA,Sagres,3544707
SALES OLIVEIRA,SALES OLIVEIRA,Sales Oliveira,3544905
SALESOPOLIS,S.ANTONIO DA ALEGRIA,Salesopolis,3545001
SALMOURAO,S.ANTONIO DE ARACANGUA,Salmourao,3545100
SALTO,S.ANTONIO DO JARDIM,Salto,3545209
SANDOVALINA,S.BENTO DO SAPUCAI,Sandovalina,3545506
SANTA CRUZ DA CONCEICAO,S.CRUZ DA CONCEICAO,Santa Cruz da Conceicao,3546207
SANTA CRUZ DO RIO PARDO,S.CRUZ DO RIO PARDO,Santa Cruz do Rio Pardo,3546405
SEBASTIANOPOLIS DO SUL,SEBASTIANOPOLIS SUL,Sebastianopolis do Sul,3551306
TAIUVA,TAIUVA,Taiuva,3553203
TAQUARAL,TAQUARAL,Taquaral,3553658
TAQUARITINGA,TAQUARITINGA,Taquaritinga,3553708
TAQUARIVAI,TAQUARIVAI,Taquarivai,3553856
TARABAI,TARABAI,Tarabai,3553906
TATUI,TATUI,Tatui,3554003
TAUBATE,TAUBATE,Taubate,3554102
TEODORO SAMPAIO,TEODORO SAMPAIO,Teodoro Sampaio,3554300
TIETE,TIETE,Tiete,3554508
TIMBURI,TIMBURI,Timburi,3554607
VINHEDO,VINHEDO,Vinhedo,3556701
TORRE DE PEDRA,TORRE DE PEDRA,Torre de Pedra,3554656
TRABIJU,TRABIJU,Trabiju,3554755
TREMEMBE,TREMEMBE,Tremembe,3554805
TUIUTI,TUIUTI,Tuiuti,3554953
TUPI PAULISTA,TUPI PAULISTA,Tupi Paulista,3555109
TURMALINA,TURMALINA,Turmalina,3555307
UBARANA,UBARANA,Ubarana,3555356
FERNAO,FERNAO,Fernao,3515657
LUPERCIO,LUPERCIO,Lupercio,3527801
PLATINA,PLATINA,Platina,3539707
SALTO GRANDE,S.BARBARA D OESTE,Salto Grande,3545407
PRESIDENTE VENCESLAU,PRESIDENTE VENCESLAU,Presidente Venceslau,3541505
JUNQUEIROPOLIS,JUNQUEIROPOLIS,Junqueiropolis,3526001
REGENTE FEIJO,REGENTE FEIJO,Regente Feijo,3542404
ROSANA,ROSANA,Rosana,3544251
CAIABU,CAIABU,Caiabu,3508900
MONTE CASTELO,MONTE CASTELO,Monte Castelo,3531605
NANTES,NANTES,Nantes,3532157
PORTO FERREIRA,PORTO FERREIRA,Porto Ferreira,3540705
BOA ESPERANCA DO SUL,BOA ESPERANCA DO SUL,Boa Esperanca do Sul,3506706
IBATE,IBATE,Ibate,3519303
PERUIBE,PERUIBE,Peruibe,3537602
BARRA DO TURVO,BARRA DO TURVO,Barra do Turvo,3505401
ITARIRI,ITARIRI,Itariri,3523305
PEDRO DE TOLEDO,PEDRO DE TOLEDO,Pedro de Toledo,3537206
CRAVINHOS,CRAVINHOS,Cravinhos,3513108
GUARIBA,GUARIBA,Guariba,3518602
JARDINOPOLIS,JARDINOPOLIS,Jardinopolis,3525102
PRADOPOLIS,PRADOPOLIS,Pradopolis,3540903
SERRANA,SERRANA,Serrana,3551504
CASSIA DOS COQUEIROS,CASSIA DOS COQUEIROS,Cassia dos Coqueiros,3510906
SERRA AZUL,SERRA AZUL,Serra Azul,3551405
GUARULHOS,GUARULHOS,Guarulhos,3518800
SANTO ANDRE,S.ANDRE,Santo Andre,3547809
UNIAO PAULISTA,UNIAO PAULISTA,Uniao Paulista,3555703
URANIA,URANIA,Urania,3555802
URUPES,URUPES,Urupes,3556008
VALENTIM GENTIL,VALENTIM GENTIL,Valentim Gentil,3556107
VALPARAISO,VALPARAISO,Valparaiso,3556305
VARGEM GRANDE DO SUL,VARGEM GRANDE DO SUL,Vargem Grande do Sul,3556404
VARGEM GRANDE PAULISTA,VARGEM GRANDE PAULISTA,Vargem Grande Paulista,3556453
VIRADOURO,VIRADOURO,Viradouro,3556800
VITORIA BRASIL,VITORIA BRASIL,Vitoria Brasil,3556958
IBIUNA,IBIUNA,Ibiuna,3519709
VISTA ALEGRE DO ALTO,VISTA ALEGRE DO ALTO,Vista Alegre do Alto,3556909
VOTORANTIM,VOTORANTIM,Votorantim,3557006
ZACARIAS,ZACARIAS,Zacarias,3557154
IPERO,IPERO,Ipero,3521002
SALTO DE PIRAPORA,S.ANTONIO DO PINHAL,Salto de Pirapora,3545308
FLORINEA,FLORINEA,Florinea,3516101
SANTA CLARA D OESTE,S.CLARA D OESTE,Santa Clara d Oeste,3546108
ANDRADINA,ANDRADINA,Andradina,3502101
ILHA SOLTEIRA,ILHA SOLTEIRA,Ilha Solteira,3520442
BALBINOS,BALBINOS,Balbinos,3504701
BREJO ALEGRE,BREJO ALEGRE,Brejo Alegre,3507753
GABRIEL MONTEIRO,GABRIEL MONTEIRO,Gabriel Monteiro,3516507
LUIZIANIA,LUIZIANIA,Luiziania,3527702
SAO JOAO DE IRACEMA,S.JOAO DE IRACEMA,Sao Joao de Iracema,3549250
BOREBI,BOREBI,Borebi,3507456
GUARANTA,GUARANTA,Guaranta,3518107
ITAJU,ITAJU,Itaju,3522000
REGINOPOLIS,REGINOPOLIS,Reginopolis,3542503
ITAQUAQUECETUBA,ITAQUAQUECETUBA,Itaquaquecetuba,3523107
FERRAZ DE VASCONCELOS,FERRAZ DE VASCONCELOS,Ferraz de Vasconcelos,3515707
POA,POA,Poa,3539806
RIO GRANDE DA SERRA,RIO GRANDE DA SERRA,Rio Grande da Serra,3544103
TURIUBA,TURIUBA,Turiuba,3555208
BEBEDOURO,BEBEDOURO,Bebedouro,3506102
TAIACU,TAIACU,Taiacu,3553104
PEDERNEIRAS,PEDERNEIRAS,Pederneiras,3536703
AGUDOS,AGUDOS,Agudos,3500709
PROMISSAO,PROMISSAO,Promissao,3541604
SAO LOURENCO DA SERRA,S.LOURENCO DA SERRA,Sao Lourenco da Serra,3549953
CATANDUVA,CATANDUVA,Catanduva,3511102
MIRASSOL,MIRASSOL,Mirassol,3530300
ARIRANHA,ARIRANHA,Ariranha,3503703
IBIRA,IBIRA,Ibira,3519402
NOVA ALIANCA,NOVA ALIANCA,Nova Alianca,3532801
BALSAMO,BALSAMO,Balsamo,3504800
ELISIARIO,ELISIARIO,Elisiario,3514924
IRAPUA,IRAPUA,Irapua,3521507
JACI,JACI,Jaci,3524501
MENDONCA,MENDONCA,Mendonca,3529500
ONDA VERDE,ONDA VERDE,Onda Verde,3534005
ORINDIUVA,ORINDIUVA,Orindiuva,3534203
PLANALTO,PLANALTO,Planalto,3539608
FERNANDOPOLIS,FERNANDOPOLIS,Fernandopolis,3515509
INDIAPORA,INDIAPORA,Indiapora,3520707
GUARANI D OESTE,GUARANI D OESTE,Guarani d Oeste,3518008
MERIDIANO,MERIDIANO,Meridiano,3529609
MIRA ESTRELA,MIRA ESTRELA,Mira Estrela,3530003
NOVA LUZITANIA,NOVA LUZITANIA,Nova Luzitania,3533304
PARANAPUA,PARANAPUA,Paranapua,3535903
PEDRANOPOLIS,PEDRANOPOLIS,Pedranopolis,3536901
PONTES GESTAL,PONTES GESTAL,Pontes Gestal,3540309
RIOLANDIA,RIOLANDIA,Riolandia,3544202
SANTANA DA PONTE PENSA,SANTANA DA PONTE PENSA,Santana da Ponte Pensa,3547205
TRES FRONTEIRAS,TRES FRONTEIRAS,Tres Fronteiras,3554904
